Quarter,mean_rate
1997K3,7.545
1997K4,7.3938
1998K1,6.7831
1998K2,6.4838
1998K3,6.3277
1998K4,6.4879
1999K1,6.0767
1999K2,6.2246
1999K3,7.5957
1999K4,7.5715
2000K1,7.4231
2000K2,7.4346
2000K3,8.0254
2000K4,7.51
2001K1,7.0585
2001K2,6.9838
2001K3,6.8223
2001K4,6.2131
2002K1,6.4477
2002K2,6.5308
2002K3,6.1715
2002K4,5.9946
2003K1,5.4277
2003K2,5.3408
2003K3,5.4862
2003K4,5.5262
2004K1,5.2531
2004K2,5.4038
2004K3,5.3257
2004K4,5.1308
2005K1,4.4869
2005K2,4.2777
2005K3,4.2454
2005K4,4.4492
2006K1,4.6492
2006K2,5.3269
2006K3,5.31
2006K4,5.1985
2007K1,5.2331
2007K2,5.5092
2007K3,6.1569
2007K4,5.8423
2008K1,5.7854
2008K2,6.3262
2008K3,6.8769
2008K4,7.0154
2009K1,6.1192
2009K2,5.4931
2009K3,5.2862
2009K4,5.22
2010K1,5.0075
2010K2,4.5508
2010K3,4.27
2010K4,4.3962
2011K1,4.8562
2011K2,5.1369
2011K3,4.7446
2011K4,4.2877
2012K1,3.9715
2012K2,3.7315
2012K3,3.5354
2012K4,3.45
2013K1,3.4031
2013K2,3.2246
2013K3,3.6554
2013K4,3.6269
2014K1,3.4892
2014K2,3.1623
2014K3,2.9677
2014K4,2.7169
2015K1,2.3315
2015K2,2.6446
2015K3,3.1515
2015K4,2.9529
2016K1,2.8631
2016K2,2.6623
2016K3,2.3538
2016K4,2.3908
2017K1,2.3823
2017K2,2.3215
2017K3,2.2508
2017K4,2.0862
2018K1,2.2038
2018K2,2.1215
2018K3,2.0708
2018K4,2.0823
2019K1,1.8338
2019K2,1.4846
2019K3,0.9938
2019K4,1.11
2020K1,1.1538
2020K2,1.2792
2020K3,1.0808
2020K4,0.9593
2021K1,1.0042
2021K2,1.5023
2021K3,1.4857
2021K4,1.7723
2022K1,2.3638
2022K2,3.4869
2022K3,4.0677
2022K4,4.8323
2023K1,4.4669
2023K2,4.5477
2023K3,4.8885
2023K4,5.1962
2024K1,4.4054
2024K2,4.4177
2024K3,4.2585
2024K4,4.1331
2025K1,4.06
2025K2,4.3238
2025K3,4.2308
2025K4,4.0146
2026K1,4.1569
2026K2,4.2467
