År,Uge,Lang rente
2026,19,4.24
2026,18,4.28
2026,17,4.55
2026,16,4.24
2026,15,3.87
2026,14,4.30
2026,13,4.38
2026,12,4.51
2026,11,4.16
2026,10,4.00
2026,9,3.95
2026,8,3.96
2026,7,4.01
2026,6,4.47
2026,5,4.09
2026,4,4.05
2026,3,4.16
2026,2,3.89
2026,1,4.41
2025,52,4.08
2025,51,4.18
2025,50,4.11
2025,49,3.83
2025,48,3.82
2025,47,4.43
2025,46,3.80
2025,45,4.43
2025,44,3.87
2025,43,3.79
2025,42,3.96
2025,41,3.92
2025,40,3.97
2025,39,3.99
2025,38,3.99
2025,37,3.92
2025,36,4.10
2025,35,4.63
2025,34,4.08
2025,33,3.96
2025,32,4.74
2025,31,4.13
2025,30,4.65
2025,29,4.59
2025,28,4.11
2025,27,4.11
2025,26,4.37
2025,25,4.06
2025,24,4.62
2025,23,4.71
2025,22,4.15
2025,21,4.63
2025,20,4.16
2025,19,4.68
2025,18,4.03
2025,17,4.15
2025,16,4.32
2025,15,4.21
2025,14,4.12
2025,13,4.34
2025,12,4.17
2025,11,4.19
2025,10,4.08
2025,9,4.06
2025,8,3.93
2025,7,3.96
2025,6,3.98
2025,5,4.06
2025,4,4.06
2025,3,4.05
2025,2,3.93
2025,1,3.97
2024,52,3.98
2024,51,3.89
2024,50,3.91
2024,49,3.98
2024,48,4.38
2024,47,4.08
2024,46,4.06
2024,45,4.08
2024,44,4.54
2024,43,4.08
2024,42,4.15
2024,41,4.09
2024,40,4.51
2024,39,4.10
2024,38,4.13
2024,37,4.26
2024,36,4.18
2024,35,4.57
2024,34,4.19
2024,33,4.18
2024,32,4.18
2024,31,4.27
2024,30,4.26
2024,29,4.40
2024,28,4.31
2024,27,4.33
2024,26,4.34
2024,25,4.37
2024,24,4.45
2024,23,4.61
2024,22,4.42
2024,21,4.41
2024,20,4.50
2024,19,4.54
2024,18,4.44
2024,17,4.54
2024,16,4.29
2024,15,4.27
2024,14,4.25
2024,13,4.30
2024,12,4.30
2024,11,4.36
2024,10,4.27
2024,9,4.38
2024,8,4.32
2024,7,4.32
2024,6,4.31
2024,5,4.47
2024,4,4.42
2024,3,4.48
2024,2,4.63
2024,1,4.71
2023,52,4.93
2023,51,4.93
2023,50,5.05
2023,49,5.11
2023,48,5.16
2023,47,5.17
2023,46,5.21
2023,45,5.23
2023,44,5.31
2023,43,5.34
2023,42,5.33
2023,41,5.28
2023,40,5.50
2023,39,5.29
2023,38,5.25
2023,37,5.27
2023,36,5.29
2023,35,5.28
2023,34,5.30
2023,33,4.24
2023,32,4.24
2023,31,4.64
2023,30,4.42
2023,29,4.72
2023,28,4.91
2023,27,4.70
2023,26,4.89
2023,25,4.91
2023,24,4.38
2023,23,4.75
2023,22,4.48
2023,21,4.14
2023,20,4.39
2023,19,4.37
2023,18,4.86
2023,17,4.68
2023,16,4.36
2023,15,4.19
2023,14,4.72
2023,13,4.80
2023,12,4.90
2023,11,4.50
2023,10,5.18
2023,9,4.68
2023,8,4.48
2023,7,4.06
2023,6,4.60
2023,5,4.39
2023,4,4.44
2023,3,4.18
2023,2,4.01
2023,1,3.85
2022,52,4.75
2022,51,4.91
2022,50,4.46
2022,49,4.68
2022,48,4.83
2022,47,4.55
2022,46,5.03
2022,45,5.10
2022,44,5.17
2022,43,4.74
2022,42,4.91
2022,41,5.07
