Quarter,Price
1992K1,5843.0
1992K2,5935.0
1992K3,5701.0
1992K4,5638.0
1993K1,5322.0
1993K2,5314.0
1993K3,5519.0
1993K4,5417.0
1994K1,5435.0
1994K2,5288.0
1994K3,5280.0
1994K4,5252.0
1995K1,5382.0
1995K2,5436.0
1995K3,5766.0
1995K4,5709.0
1996K1,5958.0
1996K2,6420.0
1996K3,6310.0
1996K4,6333.0
1997K1,6773.0
1997K2,7151.0
1997K3,7372.0
1997K4,7708.0
1998K1,8089.0
1998K2,8547.0
1998K3,9046.0
1998K4,9475.0
1999K1,10271.0
1999K2,10706.0
1999K3,11220.0
1999K4,11172.0
2000K1,11657.0
2000K2,12329.0
2000K3,12528.0
2000K4,13035.0
2001K1,13656.0
2001K2,14518.0
2001K3,15348.0
2001K4,15254.0
2002K1,15935.0
2002K2,16273.0
2002K3,16655.0
2002K4,16501.0
2003K1,17636.0
2003K2,17591.0
2003K3,17557.0
2003K4,17665.0
2004K1,18550.0
2004K2,19200.0
2004K3,20224.0
2004K4,21083.0
2005K1,22480.0
2005K2,24659.0
2005K3,27399.0
2005K4,29501.0
2006K1,30086.0
2006K2,31849.0
2006K3,31430.0
2006K4,29282.0
2007K1,27788.0
2007K2,27182.0
2007K3,26925.0
2007K4,25840.0
2008K1,24767.0
2008K2,24458.0
2008K3,23293.0
2008K4,21232.0
2009K1,20030.0
2009K2,20479.0
2009K3,20580.0
2009K4,21530.0
2010K1,22321.0
2010K2,23326.0
2010K3,23164.0
2010K4,23252.0
2011K1,23559.0
2011K2,23268.0
2011K3,21939.0
2011K4,22269.0
2012K1,22160.0
2012K2,22214.0
2012K3,22855.0
2012K4,23457.0
2013K1,24451.0
2013K2,25825.0
2013K3,25897.0
2013K4,26459.0
2014K1,26590.0
2014K2,27538.0
2014K3,27964.0
2014K4,27922.0
2015K1,29414.0
2015K2,31393.0
2015K3,31651.0
2015K4,31895.0
2016K1,32384.0
2016K2,34213.0
2016K3,34706.0
2016K4,35249.0
2017K1,36329.0
2017K2,37525.0
2017K3,39046.0
2017K4,39182.0
2018K1,40236.0
2018K2,40592.0
2018K3,40055.0
2018K4,39558.0
2019K1,40142.0
2019K2,39742.0
2019K3,39705.0
2019K4,40769.0
2020K1,41168.0
2020K2,42103.0
2020K3,42746.0
2020K4,44876.0
2021K1,47545.0
2021K2,49905.0
2021K3,50843.0
2021K4,49926.0
2022K1,51583.0
2022K2,52785.0
2022K3,48975.0
2022K4,45474.0
2023K1,46212.0
2023K2,47920.0
2023K3,49817.0
2023K4,50567.0
2024K1,49804.0
2024K2,52034.0
2024K3,52680.0
2024K4,54603.0
2025K1,57331.0
2025K2,60542.0
2025K3,64325.0
2025K4,68453.0
