DATE,CSUSHPISA,DSPIC96_NBD19590101
1987-01-01,63.965,281.06712
1987-02-01,64.425,282.55761
1987-03-01,64.735,282.91423
1987-04-01,65.134,272.29334
1987-05-01,65.569,283.33029
1987-06-01,66.075,282.95538
1987-07-01,66.508,283.74177
1987-08-01,66.936,284.93508
1987-09-01,67.329,284.93965
1987-10-01,67.74,286.77304
1987-11-01,68.108,287.88862
1987-12-01,68.507,290.46269
1988-01-01,68.859,291.07535
1988-02-01,69.263,292.77615
1988-03-01,69.637,293.96946
1988-04-01,69.97399999999999,294.97988
1988-05-01,70.425,295.39137
1988-06-01,70.887,296.48866
1988-07-01,71.354,297.72312
1988-08-01,71.79899999999999,298.55980
1988-09-01,72.241,299.13588
1988-10-01,72.637,300.73153
1988-11-01,73.071,300.83211
1988-12-01,73.465,302.31346
1989-01-01,73.947,303.60735
1989-02-01,74.383,304.50805
1989-03-01,74.778,306.03969
1989-04-01,75.085,304.46690
1989-05-01,75.307,303.07242
1989-06-01,75.48,303.93197
1989-07-01,75.65899999999999,304.99726
1989-08-01,75.835,305.80651
1989-09-01,76.057,306.72092
1989-10-01,76.28699999999999,308.23427
1989-11-01,76.51899999999999,308.52688
1989-12-01,76.706,308.53146
1990-01-01,76.89699999999999,310.34199
1990-02-01,77.053,310.98665
1990-03-01,77.2,311.06437
1990-04-01,77.278,313.06236
1990-05-01,77.298,312.68745
1990-06-01,77.258,313.13552
1990-07-01,77.139,314.22366
1990-08-01,77.008,312.24854
1990-09-01,76.84899999999999,312.09766
1990-10-01,76.70100000000001,309.53731
1990-11-01,76.365,309.61503
1990-12-01,76.182,311.39356
1991-01-01,75.914,310.51116
1991-02-01,75.734,310.93636
1991-03-01,75.571,311.43014
1991-04-01,75.567,312.65088
1991-05-01,75.765,312.71031
1991-06-01,75.993,314.33339
1991-07-01,76.085,313.72531
1991-08-01,76.11,314.46598
1991-09-01,76.196,315.33925
1991-10-01,76.07300000000001,315.81931
1991-11-01,76.01100000000001,316.33138
1991-12-01,76.057,319.22549
1992-01-01,76.089,322.40307
1992-02-01,76.158,323.88442
1992-03-01,76.279,324.23647
1992-04-01,76.348,325.20574
1992-05-01,76.4,326.76939
1992-06-01,76.334,328.17301
1992-07-01,76.26899999999999,327.95355
1992-08-01,76.234,329.13314
1992-09-01,76.242,327.61522
1992-10-01,76.381,325.51664
1992-11-01,76.558,326.01500
1992-12-01,76.67699999999999,337.63259
1993-01-01,76.788,330.26244
1993-02-01,76.84100000000001,331.82608
1993-03-01,76.872,330.79279
1993-04-01,76.94,332.51189
1993-05-01,77.039,332.03182
