Årmåned_salg;case_type_dk;municipality_name;zip_code;zip_code_name;erts89_utm32_x;erts89_utm32_y;ed50_x;ed50_y;wgs84_lat;wgs84_lon;grundareal;boligareal;vægtet_areal;energimærke_påkrævet;energimærke;antvandskyltoilleter;opvarmningskode;varmeinstallationskode;ydervægkode;byggeår;renoveringsår;md_ejerudgifter;første_udbudspris;senest_annonceret_pris;tinglyst_pris;dage_på_markedet_v_seneste_mægler;dage_på_markedet_v_alle_mæglere
201806;Rækkehus;København;2100;København Ø;724661.3697431379;6177506.430197247;724743.4370031202;6177712.574576871;55,69122405;12,57460491;74;144;159;FALSE;e;2;9999;9999;1;1882;;5321;9500000;9500000;9600000;;
201906;Rækkehus;København;2100;København Ø;724656.3099617342;6177510.129902037;724738.3771995398;6177716.274317907;55,69125957;12,57452761;75;121;136.4499969482422;FALSE;;2;9999;9999;1;1882;;5362;9998000;9998000;9350000;;
201805;Rækkehus;København;2100;København Ø;724656.3099617342;6177510.129902037;724738.3771995398;6177716.274317907;55,69125957;12,57452761;75;121;136;TRUE;c;2;9999;9999;1;1882;;5324;9895000;9500000;8500000;79;79
201805;Rækkehus;København;2100;København Ø;724612.6998841494;6177539.480294425;724694.7669242901;6177745.625006782;55,69154296;12,57385928;75;136;151;TRUE;c;2;9999;9999;5;1882;1974;5469;9595000;9195000;8750000;96;96
202006;Villa;København;2300;København S;726339.2701369224;6172005.4193364065;726421.3337691108;6172211.5248479135;55,64111328;12,59671021;409;107;126;TRUE;d;1;9999;9999;1;1927;;4434;4195000;3995000;3900000;148;148
202103;Villa;København;2300;København S;726314.7447286966;6171972.668490626;726396,8081;6172178.773859339;55,64083099;12,5962944;426;140;136;TRUE;a2015;2;9999;9999;80;2017;;4613;7495000;7495000;7595000;17;17
201108;Villa;København;2700;Brønshøj;718735.9998927611;6178448.999985718;718818.0324674495;6178655.165567457;55,70238375;12,48127579;970;87;259;TRUE;g;2;9999;9999;1;1928;;;2250000;2250000;2275000;15;15
201912;Villa;København;2500;Valby;719959.2023814355;6174355.663413339;720041.2320496305;6174561,8;55,66511917;12,49742126;391;107;132;TRUE;f;2;9999;9999;5;1914;;6092;6498000;6498000;6825000;4;4
201202;Villa;København;2500;Valby;719803.7621381008;6174318.587565216;719885.7907358984;6174524.724455848;55,66485698;12,4949252;474;143;170;TRUE;d;1;9999;9999;1;1930;1966;;4675000;4675000;4450000;65;627
202201;Rækkehus;København;2300;København S;728076.8752870476;6173143.500418007;728158,9527;6173349.608616426;55,65050734;12,62520423;174;85;102;TRUE;c;1;9999;9999;1;1943;;3963;4995000;4995000;5150000;16;16
